2016-11-01 15:36:32,514 [Dummy-1:123145501962240] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2016-11-01 15:36:34,303 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `myBlog_comment` WHERE `myBlog_comment`.`article_id` = 12; args=('*', 12)
2016-11-01 15:36:34,304 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_tag`.`id`, `myBlog_tag`.`name` FROM `myBlog_tag` INNER JOIN `myBlog_article_tag` ON ( `myBlog_tag`.`id` = `myBlog_article_tag`.`tag_id` ) WHERE `myBlog_article_tag`.`article_id` = 11; args=(11,)
2016-11-01 15:36:34,306 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `myBlog_comment` WHERE `myBlog_comment`.`article_id` = 11; args=('*', 11)
2016-11-01 15:36:34,307 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_tag`.`id`, `myBlog_tag`.`name` FROM `myBlog_tag` INNER JOIN `myBlog_article_tag` ON ( `myBlog_tag`.`id` = `myBlog_article_tag`.`tag_id` ) WHERE `myBlog_article_tag`.`article_id` = 10; args=(10,)
2016-11-01 15:36:34,308 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `myBlog_comment` WHERE `myBlog_comment`.`article_id` = 10; args=('*', 10)
2016-11-01 15:36:34,309 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_tag`.`id`, `myBlog_tag`.`name` FROM `myBlog_tag` INNER JOIN `myBlog_article_tag` ON ( `myBlog_tag`.`id` = `myBlog_article_tag`.`tag_id` ) WHERE `myBlog_article_tag`.`article_id` = 9; args=(9,)
2016-11-01 15:36:34,311 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `myBlog_comment` WHERE `myBlog_comment`.`article_id` = 9; args=('*', 9)
2016-11-01 15:36:34,314 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_article`.`id`, `myBlog_article`.`title`, `myBlog_article`.`desc`, `myBlog_article`.`content`, `myBlog_article`.`click_count`, `myBlog_article`.`is_recommend`, `myBlog_article`.`date_publish`, `myBlog_article`.`user_id`, `myBlog_article`.`category_id` FROM `myBlog_article` ORDER BY `myBlog_article`.`click_count` DESC LIMIT 6; args=()
2016-11-01 15:36:34,316 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_article`.`id`, `myBlog_article`.`title`, `myBlog_article`.`desc`, `myBlog_article`.`content`, `myBlog_article`.`click_count`, `myBlog_article`.`is_recommend`, `myBlog_article`.`date_publish`, `myBlog_article`.`user_id`, `myBlog_article`.`category_id` FROM `myBlog_article` WHERE `myBlog_article`.`is_recommend` = 1 ORDER BY `myBlog_article`.`date_publish` DESC LIMIT 6; args=(True,)
2016-11-01 15:36:34,317 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `myBlog_tag`.`id`, `myBlog_tag`.`name` FROM `myBlog_tag`; args=()
2016-11-01 15:36:34,319 [Thread-2:123145506168832] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `myBlog_links`.`id`, `myBlog_links`.`title`, `myBlog_links`.`description`, `myBlog_links`.`callback_url`, `myBlog_links`.`date_publish`, `myBlog_links`.`index` FROM `myBlog_links` ORDER BY `myBlog_links`.`index` ASC, `myBlog_links`.`id` ASC; args=()
